"","senator_name","year_in_office","Total_Transaction","yearly_weighted_return","weighted_average_returns","SP_500_return","abnormal_return_size","abnormal_return_numeric"
"482","Michael C. Burgess","2024",413509,63963.2120101391,0.154683965790682,23.31,"99.34 % lower",-99.3364051231631
"483","John A. Yarmuth","2017",1878057.5,240474.867090679,0.128044464608075,19.42,"99.34 % lower",-99.3406567218946
"484","Daniel Crenshaw","2023",8000.5,407.529221103449,0.0509379690148677,24.23,"99.79 % lower",-99.7897731365461
"485","Judy Chu","2024",350001,0,0,23.31,"100.00 % lower",-100
"486","Mr. Sam Farr","2013",65001,0,0,29.6,"100.00 % lower",-100
"487","HON. GREG STANTON","2023",1586093,-9108.99980543178,-0.00574304268755475,24.23,"100.02 % lower",-100.023702198463
"488","Suzan K. Delbene","2024",175000.5,-2179.49511360399,-0.0124542222085308,23.31,"100.05 % lower",-100.053428666703
"489","Lois Frankel","2017",1160571,-12520.5863555367,-0.0107882984802625,19.42,"100.06 % lower",-100.055552515346
"490","Josh Gottheimer","2024",33520039.5,-657808.026747346,-0.0196243213480505,23.31,"100.08 % lower",-100.084188422772
"491","Kathy Manning","2024",958041.5,-65300.6129386254,-0.0681605263849483,23.31,"100.29 % lower",-100.2924089506
"492","Cindy Axne","2019",432027,-37496.7197210462,-0.086792537783625,28.88,"100.30 % lower",-100.300528177921
"493","Adam Kinzinger","2018",16001,-200029.06369379,-12.501035166164,-6.24,"100.34 % lower",-100.337102021859
"494","John A. Yarmuth","2021",401022,-43809.4913829208,-0.109244608482629,26.89,"100.41 % lower",-100.406264813993
"495","Tuberville, Tommy","2024",281503.5,-64564.3148165733,-0.229355282675254,23.31,"100.98 % lower",-100.983935146612
"496","Robert J. Wittman","2023",256016,-81195.3166727747,-0.317149383916531,24.23,"101.31 % lower",-101.308912026069
"497","Josh Gottheimer","2023",92919807,-34957530.6217214,-0.376211829860144,24.23,"101.55 % lower",-101.552669541313
"498","Katherine M. Clark","2021",672540.5,-317031.826038383,-0.47139440084037,26.89,"101.75 % lower",-101.753047232579
"499","Josh Gottheimer","2021",84398685.5,-46694640.905741,-0.553262656036758,26.89,"102.06 % lower",-102.057503369419
"500","Raúl M. Grijalva","2021",16001,-9030.05932115691,-0.56434343610755,26.89,"102.10 % lower",-102.098711179277
"501","Mark Dr Green","2021",52448612,-31224514.1494548,-0.595335376071625,26.89,"102.21 % lower",-102.213965697552
"502","Gerald E. Connolly","2023",96504.5,-57855.6336327167,-0.599512288367036,24.23,"102.47 % lower",-102.47425624584
"503","Deborah K. Ross","2021",594510,-559173.610557572,-0.940562161372512,26.89,"103.50 % lower",-103.49781391362
"504","Kevin Hern","2019",1452032.5,-1508047.69141347,-1.03857709205095,28.88,"103.60 % lower",-103.596181066658
"505","David B. Mckinley","2020",1447681.5,-853663.117768189,-0.58967605634816,16.26,"103.63 % lower",-103.626544011981
"506","Peter Welch","2021",202006.5,-247256.651912023,-1.22400344499817,26.89,"104.55 % lower",-104.551890833017
"507","Mark Dr Green","2024",457502,-500724.954696795,-1.09447599069905,23.31,"104.70 % lower",-104.695306695406
"508","Josh Gottheimer","2020",12907228,-10582018.3813341,-0.819852131017916,16.26,"105.04 % lower",-105.04214102717
"509","Rick Larsen","2024",32002,-38294.5747265025,-1.19663067078628,23.31,"105.13 % lower",-105.133550711224
"510","Blake Moore","2024",858519,-1147099.11680101,-1.33613713476465,23.31,"105.73 % lower",-105.732034040174
"511","Kevin Hern","2021",16191596.5,-25050451.6901639,-1.54712672651915,26.89,"105.75 % lower",-105.753539332537
"512","Christopher L. Jacobs","2021",388017,-638742.492354133,-1.64617141092821,26.89,"106.12 % lower",-106.121872112042
"513","Kevin Yoder","2018",64004,-824056.422897824,-12.8750769154713,-6.24,"106.33 % lower",-106.33136082486
"514","Pete Sessions","2021",751521.5,-1440304.42625435,-1.91651792564065,26.89,"107.13 % lower",-107.127251489924
"515","Thomas Massie","2020",32500.5,-44257.898213556,-1.36176053333198,16.26,"108.37 % lower",-108.374911029102
"516","Debbie Dingell","2021",286004.5,-648109.536500378,-2.26608160536068,26.89,"108.43 % lower",-108.427227985722
"517","William R. Keating","2024",32002,-64321.9585952584,-2.00993558512776,23.31,"108.62 % lower",-108.62263228283
"518","Stephanie Bice","2021",8000.5,-19197.5473079277,-2.39954344202584,26.89,"108.92 % lower",-108.923553149966
"519","Richard W. Allen","2021",1203018.5,-2998782.40386143,-2.49271511939461,26.89,"109.27 % lower",-109.270045070266
"520","Duckworth, Tammy","2017",8000.5,-15326.0048814728,-1.9156308832539,19.42,"109.86 % lower",-109.864216700587
"521","Dean Phillips","2021",200511,-534576.381628698,-2.66607009904044,26.89,"109.91 % lower",-109.914727032504
"522","Donald Sternoff Beyer Jr","2020",2583140,-4362514.02049924,-1.68884149542775,16.26,"110.39 % lower",-110.386479061671
"523","Hickenlooper, John","2022",570006.5,-23357988.6296289,-40.9784601221721,-19.44,"110.79 % lower",-110.79454795356
"524","Rick Larsen","2023",112007,-311326.467409918,-2.77952688144418,24.23,"111.47 % lower",-111.471427492547
"525","Kenneth R. Buck","2017",520032.5,-1195686.28668811,-2.29925300185683,19.42,"111.84 % lower",-111.839613809767
"526","William R. Keating","2021",384024,-1360497.580515,-3.54274102794356,26.89,"113.17 % lower",-113.174938742817
"527","Tom Malinowski","2020",2070064,-4991576.75651914,-2.41131518470885,16.26,"114.83 % lower",-114.829736683326
"528","Carol Devine Miller","2021",576011.5,-2363088.56306335,-4.1025024032738,26.89,"115.26 % lower",-115.256609904328
"529","Lummis, Cynthia","2021",8000.5,-33367.3837171362,-4.17066229824838,26.89,"115.51 % lower",-115.510086642798
"530","Pete Sessions","2024",60001.5,-218454.773099701,-3.64082186444841,23.31,"115.62 % lower",-115.619141417625
"531","Greg Gianforte","2019",23856109.5,-109517553.948963,-4.59075499921576,28.88,"115.90 % lower",-115.895966063766
"532","Tom Malinowski","2021",1350531.5,-5969610.83764768,-4.42019370717949,26.89,"116.44 % lower",-116.438057668946
"533","Shri Thanedar","2023",591011,-2410128.70705261,-4.07797605637223,24.23,"116.83 % lower",-116.83027674937
"534","Michael C. Burgess","2023",1528528.5,-6318112.57856863,-4.13346076214387,24.23,"117.06 % lower",-117.059268518959
"535","Marjorie Taylor Greene","2021",498025,-2330070.43529707,-4.67862142522377,26.89,"117.40 % lower",-117.399112775098
"536","James R. Langevin","2021",2758538.5,-13109912.101309,-4.75248473106647,26.89,"117.67 % lower",-117.673799669269
"537","Susie Lee","2021",2441149.5,-11648991.2628269,-4.77192866017707,26.89,"117.75 % lower",-117.746108814344
"538","Mark Dr Green","2020",4800006,-14228708.8557708,-2.96431063956395,16.26,"118.23 % lower",-118.230692740246
"539","Lloyd Doggett","2021",160010,-795727.255473529,-4.97298453517611,26.89,"118.49 % lower",-118.493806378491
"540","Blake Moore","2021",1006054.5,-5026036.38299414,-4.99578937621584,26.89,"118.58 % lower",-118.578614266329
"541","Michael John Gallagher","2021",8000.5,-40604.3807655906,-5.07523039379921,26.89,"118.87 % lower",-118.874043859424
"542","Suzan K. Delbene","2019",32457005,-180232246.188541,-5.55295370563431,28.88,"119.23 % lower",-119.22767903613
"543","Graham, Lindsey","2024",32500.5,-146276.980491173,-4.50076092648337,23.31,"119.31 % lower",-119.308283682897
"544","Adam Kinzinger","2020",192012,-604191.52575471,-3.14663419866837,16.26,"119.35 % lower",-119.351993841749
"545","August Lee Pfluger Ii","2022",48501.5,-2068603.2093957,-42.650293483618,-19.44,"119.39 % lower",-119.394513804619
"546","Tuberville, Tommy","2023",4881072,-23045359.6349805,-4.72137260728391,24.23,"119.49 % lower",-119.485648399851
"547","Whitehouse, Sheldon","2023",121004.5,-594386.351493307,-4.91210121518875,24.23,"120.27 % lower",-120.272807326408
"548","Jonathan Jackson","2024",213003,-1024530.14152707,-4.80993291891227,23.31,"120.63 % lower",-120.634632856767
"549","Carol Devine Miller","2023",212504.5,-1168876.72211912,-5.50047985863414,24.23,"122.70 % lower",-122.701113737656
"550","Thomas Suozzi","2021",6729279.5,-41566312.2983567,-6.1769335481394,26.89,"122.97 % lower",-122.971117694829
